"sleep_id","drinking","happy"
"night1","nodrinksad",FALSE
"night10","nodrinkhappy",TRUE
"night11","nodrinksad",FALSE
"night12","nodrinkhappy",TRUE
"night13","smalldrinksad",FALSE
"night14","smalldrinksad",FALSE
"night15","nodrinksad",FALSE
"night16","nodrinkhappy",TRUE
"night17","nodrinksad",FALSE
"night18","nodrinksad",FALSE
"night19","nodrinkhappy",TRUE
"night2","muchdrinksad",FALSE
"night20","nodrinksad",FALSE
"night21","muchdrinksad",FALSE
"night22","nodrinkhappy",TRUE
"night23","nodrinkhappy",TRUE
"night24","smalldrinksad",FALSE
"night25","nodrinkhappy",TRUE
"night26","nodrinkhappy",TRUE
"night27","nodrinkhappy",TRUE
"night28","nodrinksad",FALSE
"night29","nodrinksad",FALSE
"night3","muchdrinkhappy",TRUE
"night30","nodrinksad",FALSE
"night4","nodrinksad",FALSE
"night5","nodrinkhappy",TRUE
"night6","muchdrinksad",FALSE
"night7","nodrinksad",FALSE
"night8","nodrinksad",FALSE
"night9","smalldrinkhappy",TRUE
